UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P78358	CTG1B_HUMAN	CTAG1B	P79483	DRB3_HUMAN	HLA-DRB3	0	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P01911	2B1F_HUMAN	HLA-DRB1	3	2	2	0	3
P79483	DRB3_HUMAN	HLA-DRB3	P14618	KPYM_HUMAN	PKM	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P50995	ANX11_HUMAN	ANXA11	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P05026	AT1B1_HUMAN	ATP1B1	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P62258	1433E_HUMAN	YWHAE	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	P11836	CD20_HUMAN	MS4A1	1	1	1	0	1
P79483	DRB3_HUMAN	HLA-DRB3	O95754	SEM4F_HUMAN	SEMA4F	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P14618	KPYM_HUMAN	PKM	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P50995	ANX11_HUMAN	ANXA11	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P05026	AT1B1_HUMAN	ATP1B1	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P62258	1433E_HUMAN	YWHAE	1	1	1	0	1
Q30154	DRB5_HUMAN	HLA-DRB5	P11836	CD20_HUMAN	MS4A1	1	1	1	0	1
Q31604	Q31604_HUMAN	DMA	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q53F39	MPPE1_HUMAN	MPPE1	Q8WVV5	BT2A2_HUMAN	BTN2A2	2	2	1	0	3
Q53F39	MPPE1_HUMAN	MPPE1	Q9NX62	IMPA3_HUMAN	IMPAD1	2	2	1	0	2
Q53F39	MPPE1_HUMAN	MPPE1	P01911	2B1F_HUMAN	HLA-DRB1	2	2	1	0	2
Q58DX5	NADL2_HUMAN	NAALADL2	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q5NGV7	KATG_FRATT	katG	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8CZJ4	Q8CZJ4_YERPE	ppiA	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8D0T1	Q8D0T1_YERPE	aat2	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8IUH5	ZDH17_HUMAN	ZDHHC17	P79483	DRB3_HUMAN	HLA-DRB3	1	1	1	0	1
Q8IUH5	ZDH17_HUMAN	ZDHHC17	Q8IUH5	ZDH17_HUMAN	ZDHHC17	1	2	1	0	7
Q8IUH5	ZDH17_HUMAN	ZDHHC17	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8NC42	RN149_HUMAN	RNF149	Q9NRU3	CNNM1_HUMAN	CNNM1	1	1	1	0	1
Q8TCQ1	MARH1_HUMAN	MARCH1	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8TCQ1	MARH1_HUMAN	MARCH1	P01903	DRA_HUMAN	HLA-DRA	1	1	1	0	1
Q8TCQ1	MARH1_HUMAN	MARCH1	Q8NC42	RN149_HUMAN	RNF149	1	1	1	0	1
Q8WW62	TMED6_HUMAN	TMED6	Q8WVV5	BT2A2_HUMAN	BTN2A2	2	2	1	0	3
Q8WW62	TMED6_HUMAN	TMED6	Q9NRU3	CNNM1_HUMAN	CNNM1	2	2	1	0	2
Q8WW62	TMED6_HUMAN	TMED6	Q8NC67	NETO2_HUMAN	NETO2	2	2	1	0	3
Q8WW62	TMED6_HUMAN	TMED6	P23229	ITA6_HUMAN	ITGA6	2	2	1	0	3
Q8WW62	TMED6_HUMAN	TMED6	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q8ZJ79	DEF_YERPE	def	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q96GX1	TECT2_HUMAN	TCTN2	Q9BV81	EMC6_HUMAN	EMC6	2	2	1	0	3
Q96GX1	TECT2_HUMAN	TCTN2	Q9NX62	IMPA3_HUMAN	IMPAD1	2	2	1	0	3
Q96GX1	TECT2_HUMAN	TCTN2	Q9NRU3	CNNM1_HUMAN	CNNM1	2	2	1	0	3
Q96GX1	TECT2_HUMAN	TCTN2	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q96KN2	CNDP1_HUMAN	CNDP1	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q96KN2	CNDP1_HUMAN	CNDP1	Q96KN2	CNDP1_HUMAN	CNDP1	0	1	1	0	1
Q9H6D8	FNDC4_HUMAN	FNDC4	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
Q9NZJ5	E2AK3_HUMAN	EIF2AK3	Q9NZJ5	E2AK3_HUMAN	EIF2AK3	2	2	1	0	2
