UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P17181	INAR1_HUMAN	IFNAR1	P01574	IFNB_HUMAN	IFNB1	3	4	3	0	5
P40855	PEX19_HUMAN	PEX19	P01574	IFNB_HUMAN	IFNB1	1	1	1	0	1
P01574	IFNB_HUMAN	IFNB1	P01574	IFNB_HUMAN	IFNB1	1	2	1	0	2
P48551	INAR2_HUMAN	IFNAR2	P01574	IFNB_HUMAN	IFNB1	1	2	1	0	2
P05161	ISG15_HUMAN	ISG15	P01574	IFNB_HUMAN	IFNB1	0	1	1	0	1
P40855	PEX19_HUMAN	PEX19	P40855	PEX19_HUMAN	PEX19	1	1	1	0	1
P48551	INAR2_HUMAN	IFNAR2	P48551	INAR2_HUMAN	IFNAR2	2	2	2	1	2
P17181	INAR1_HUMAN	IFNAR1	P48551	INAR2_HUMAN	IFNAR2	3	4	4	0	4
