UniProtName_A	UniProtName_B
GCR_HUMAN	HS90B_HUMAN
GCR_HUMAN	HSP7C_HUMAN
G3P_HUMAN	G3P_HUMAN
G3P_HUMAN	ANXA1_HUMAN
G3P_HUMAN	NPM_HUMAN
ENV_HV1H2	VDAC1_HUMAN
ENV_HV1H2	VDAC2_HUMAN
ENV_HV1H2	PHB_HUMAN
ENV_HV1H2	VDAC3_HUMAN
ENV_HV1H2	TERA_HUMAN
ENV_HV1H2	CATD_HUMAN
ENV_HV1H2	CD4_HUMAN
ENV_HV1H2	LCK_HUMAN
ENV_HV1H2	TFR1_HUMAN
ENV_HV1H2	CH60_HUMAN
NEF_HV1H2	TFR1_HUMAN
NEF_HV1H2	GNAI2_HUMAN
NEF_HV1H2	CD320_HUMAN
NEF_HV1H2	CXCR4_HUMAN
RLA1_HUMAN	RLA1_HUMAN
RLA1_HUMAN	RSSA_HUMAN
RLA1_HUMAN	RS19_HUMAN
RLA1_HUMAN	RS10_HUMAN
RLA1_HUMAN	RL18_HUMAN
RLA0_HUMAN	RLA1_HUMAN
RLA0_HUMAN	RSSA_HUMAN
RLA0_HUMAN	RS10_HUMAN
RLA0_HUMAN	HSP7C_HUMAN
RLA0_HUMAN	RS12_HUMAN
RLA0_HUMAN	RS19_HUMAN
RLA0_HUMAN	RS9_HUMAN
RLA0_HUMAN	VDAC3_HUMAN
K1C18_HUMAN	K2C8_HUMAN
K1C18_HUMAN	K1C18_HUMAN
K1C18_HUMAN	VIME_HUMAN
K1C18_HUMAN	CD4_HUMAN
K2C8_HUMAN	VIME_HUMAN
K2C8_HUMAN	CD4_HUMAN
VPU_HV1H2	LPPRC_HUMAN
VPU_HV1H2	CD4_HUMAN
CD5_HUMAN	P85A_HUMAN
CD5_HUMAN	LCK_HUMAN
LCK_HUMAN	PTPRC_HUMAN
LCK_HUMAN	TIP_SHV2C
LCK_HUMAN	LCK_HUMAN
LCK_HUMAN	EF1B_HUMAN
LCK_HUMAN	TBB5_HUMAN
LCK_HUMAN	HSP7C_HUMAN
LCK_HUMAN	ATPA_HUMAN
LCK_HUMAN	U119A_HUMAN
LCK_HUMAN	NEF_HV1H2
LCK_MOUSE	LCK_HUMAN
CD2_HUMAN	LCK_HUMAN
CD2_HUMAN	PTPRC_HUMAN
CD2_HUMAN	CD5_HUMAN
CD2_HUMAN	LEG1_HUMAN
CD2_HUMAN	CD53_HUMAN
CD2_HUMAN	CD4_HUMAN
ENOA_HUMAN	HS90B_HUMAN
ENOA_HUMAN	HSP7C_HUMAN
ENOA_HUMAN	G3P_HUMAN
ENOA_HUMAN	HS90A_HUMAN
NPM_HUMAN	NUCL_HUMAN
NPM_HUMAN	GNAI2_HUMAN
NPM_HUMAN	NPM_HUMAN
NPM_HUMAN	RL22_HUMAN
NPM_HUMAN	RL7_HUMAN
NPM_HUMAN	EIF3C_HUMAN
NPM_HUMAN	RL18_HUMAN
NPM_HUMAN	DDX3X_HUMAN
NPM_HUMAN	RS9_HUMAN
NPM_HUMAN	RS10_HUMAN
NPM_HUMAN	RS19_HUMAN
NPM_HUMAN	P85A_HUMAN
NPM_HUMAN	HS90A_HUMAN
NPM_HUMAN	HS90B_HUMAN
NPM_HUMAN	TERA_HUMAN
NPM_HUMAN	ANXA2_HUMAN
NPM_HUMAN	LEG1_HUMAN
NPM_HUMAN	RS12_HUMAN
NPM_HUMAN	EF1B_HUMAN
NPM_HUMAN	ENOA_HUMAN
NPM_HUMAN	RLA1_HUMAN
NPM_HUMAN	ATPA_HUMAN
NPM_HUMAN	EIF3I_HUMAN
NPM_HUMAN	RLA0_HUMAN
NPM_HUMAN	RSSA_HUMAN
NPM_HUMAN	ROA2_HUMAN
NPM_HUMAN	HNRPD_HUMAN
NPM_HUMAN	ROA1_HUMAN
CATD_HUMAN	VPP1_HUMAN
CATD_HUMAN	VDAC2_HUMAN
ANXA2_HUMAN	ANXA2_HUMAN
TBB5_HUMAN	TBB5_HUMAN
TBB5_HUMAN	KSYK_HUMAN
TBB5_HUMAN	G3P_HUMAN
ADRB2_HUMAN	ADRB2_HUMAN
ADRB2_HUMAN	LAMP2_HUMAN
ADRB2_HUMAN	ARV1_HUMAN
ADRB2_HUMAN	GNAI2_HUMAN
ADRB2_HUMAN	TERA_HUMAN
ADRB2_HUMAN	ATPA_HUMAN
ADRB2_HUMAN	CH60_HUMAN
ADRB2_HUMAN	G3P_HUMAN
ADRB2_HUMAN	LPPRC_HUMAN
